Topic,Count,Name,Representation,Representative_Docs
-1,205,-1_protest_cjp_cjp protest_https,"['protest', 'cjp', 'cjp protest', 'https', 'delhi', 'police', 'amp', 'students', 'delhi police', 'modi']","['@VijayGajeraO Since 2014_\n-Intolerance campaign\n-Award return show by Urban Naxals\n-Shaheen Bagh\n-Delhi Riots\n-Fake Farmers Protest\n-Republic Day Riots\n-Manipur Kuki Terrorism\n-West Bengal Anti-Hindu Riots by TMC\n-AAP-CJP rampage\n\nHardly any concrete action after winning elections everywhere🤐 https://t.co/MMWfBZrmjV', '@wokeflix Since 2014_\n-Intolerance campaign\n-Award return show by Urban Naxals\n-Shaheen Bagh\n-Delhi Riots\n-Fake Farmers Protest\n-Republic Day Riots\n-Manipur Kuki Terrorism\n-West Bengal Anti-Hindu Riots by TMC\n-AAP-CJP rampage\n\nHardly any concrete action after winning elections everywhere🤐 https://t.co/jrNRCWgq8b', '@Sanjay_Dixit Since 2014_\n-Intolerance campaign\n-Award return show by Urban Naxals\n-Shaheen Bagh\n-Delhi Riots\n-Fake Farmers Protest\n-Republic Day Riots\n-Manipur Kuki Terrorism\n-West Bengal Anti-Hindu Riots by TMC\n-AAP-CJP rampage\n\nHardly any concrete action after winning elections everywhere🤐 https://t.co/M0723MKhTo']"
0,83,0_police_delhi police_stones_pelting,"['police', 'delhi police', 'stones', 'pelting', 'cctv', 'footage', 'cjp', 'https', 'delhi', 'cctv footage']","['Delhi Police released CCTV footage from 20th July showing CJP goons breaking the barricades to head to Parliament, which led to a lathi-charge. https://t.co/W6cDrAjImr', 'CJP Protest: Delhi Police has released CCTV footages showing incidents of stone pelting &amp; vandalism at multiple locations across the national capital during the July 20 protest. \n\nThe videos capture damage to public property and clashes at several sites. https://t.co/48XbTuGcYd', '🚨BREAKING 🚨DELHI \nDelhi Police has released CCTV footage that it says captures incidents of stone-pelting and vandalism during the July 20 protest in the national capital.\nAccording to police, the footage forms part of the ongoing investigation into the violence. #cjp\n#protest']"
1,86,1_delhi_protest_cjp_needs,"['delhi', 'protest', 'cjp', 'needs', 'cjp protest', 'anti', 'police', 'delhi police', 'supporting', 'amp']","['@business Thank you world for showing the real picture of India. Mainstream media is sold out or spineless. We common people now depend on you and social media. Keep supporting the #CJP protest at #JantarMantar, New Delhi and across #India #World🙏', '@CJP_for_India 🙏big salute and thank you to every noble soul around the world sending food for our hungry, thirsty protestors.\nAt Jantar Mantar, Dictator Modi / Amit Shah have cut electricity, water, sanitation and jammed communications, while sending goons to attack children and their', '@CJP_for_India 🙏 CJP stay 💪 Thank you to all the noble souls worldwide sending food for our hungry &amp; thirsty protestors at Jantar Mantar, Delhi.\nModi &amp; Amit Shah have cut power, water, sanitation, jammed networks &amp; sent goons to beat up students and parents.\nJantar Mantar is sealed for days.']"
2,82,2_mantar_jantar mantar_jantar_delhi,"['mantar', 'jantar mantar', 'jantar', 'delhi', 'protest', 'march', 'july', 'https', 'cjp', 'police']","[""BKU (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted.\n\n #cjp #cjpprotest https://t.co/ClfGG1dhOO"", ""Bharatiya Kisan Union (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted. https://t.co/fRquMkztFM"", ""Bharatiya Kisan Union (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted. https://t.co/At7pHpLZik""]"
3,72,3_metro_stations_delhi metro_metro stations,"['metro', 'stations', 'delhi metro', 'metro stations', '18', 'amid', 'shut', 'closed', 'amid cjp', 'remain']","['For the fourth consecutive day, 18 Delhi Metro stations in central Delhi remain closed due to heightened security around the ongoing CJP protest near Jantar Mantar. \n\nServices are suspended from 7:30 AM until further notice, while interchange facilities remain available at Rajiv https://t.co/gRqQhn35SC', 'Eighteen Delhi Metro stations in central Delhi remained closed for the fourth consecutive day on Saturday due to security concerns amid the ongoing CJP-led protest at Jantar Mantar. According to the DMRC, the stations will remain shut from 7:30 am until further notice, while https://t.co/NyWM1PROpe', 'STORY | 18 Delhi Metro stations remain shut for fourth straight day amid CJP protest\n\nEighteen Delhi Metro stations in central Delhi remained closed for the fourth straight day on Saturday due to security concerns amid the ongoing Cockroach Janta Party (CJP) protest near the https://t.co/ShVEgl7lpM']"
4,80,4_cockroach_party_janta party_janta,"['cockroach', 'party', 'janta party', 'janta', 'cockroach janta', 'party cjp', 'jantar mantar', 'mantar', 'jantar', 'delhi']","['Watch | Delhi Police held a press conference on the ongoing Cockroach Janata Party (CJP) protest.\n\nDCP Central Rohit Rajbir Singh said, ""Our investigation has revealed that some social media accounts operated from Pakistan are spreading fake content related to the protest. So https://t.co/bSuMsP1IPR', '#WATCH | Delhi: On the misleading and false information related to Jantar Mantar protest, DCP Central Rohit Rajbir Singh says, ""A protest has been going on at Jantar Mantar for the past several weeks by the Cockroach Janata Party... Information on social media goes viral very https://t.co/eStIyMXa1Y', '🚨 #NewsAlert | Delhi Police held a press conference regarding the ongoing Cockroach Janata Party (CJP) protest.\n\n📌 DCP Central Rohit Rajbir Singh said, ""For the past several weeks, the Cockroach Janata Party (CJP) protest has been underway at Jantar Mantar. Information spreads https://t.co/fRezl4X5U8']"
5,75,5_education minister_education_minister_dharmendra,"['education minister', 'education', 'minister', 'dharmendra', 'dharmendra pradhan', 'pradhan', 'minister dharmendra', 'resignation', 'union education', 'union']","[""CJP is celebrating the resignation of India's Education Minister, Dharmendra Pradhan. Yet it says the protest will not end until its other demands are met:\n\n₹1 crore in compensation for the families of students who died by suicide.\nA public apology from the Delhi Police.\nAction https://t.co/22ORhffIY0"", 'CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met:\n\nCompensation of ₹1 crore for families of students who died by suicide.\n\nDelhi Police public apology. (1/2)', 'CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met:\n\nCompensation of ₹1 crore for families of students who died by suicide.\n\nDelhi Police public apology. Action against those who ordered']"
6,59,6_demands_accepted_government_ranka,"['demands', 'accepted', 'government', 'ranka', 'ashutosh ranka', 'ashutosh', 'immediate effect', 'effect', 'immediate', 'demands accepted']","['Delhi : After talks between the CJP delegation and the government, during a joint press conference, CJP spokesperson Ashutosh Ranka says, “All our demands have been accepted. We request the protestors to peacefully withraw the protest with immediate effect.” https://t.co/RVWy74NsUj', '#Delhi: After talks between the CJP delegation and the government, during a joint press conference, CJP spokesperson Ashutosh Ranka says, “All our demands have been accepted. We request the protestors to peacefully withdraw the protest with immediate effect.”\n\n#NEETIssue https://t.co/XdCNIUTKfC', 'Delhi: After talks between the CJP delegation and the government, during a joint press conference, CJP spokesperson Ashutosh Ranka says, “All our demands have been accepted. We request the protestors to peacefully withdraw the protest with immediate effect.” https://t.co/s5XN84PYP3']"
7,62,7_police_delhi police_criminal_identified,"['police', 'delhi police', 'criminal', 'identified', 'registered', 'criminal records', 'records', 'firs', 'frs', 'delhi']","['Delhi Police IDENTIFIED several ""BAD CHARACTERS"" with CRIMINAL records ahead of the CJP protest and took 215 people into PREVENTIVE CUSTODY based on intelligence inputs to PREVENT any law-and-order disruption.', '🚨 BIG BREAKING\n\nDelhi Police IDENTIFIED several ""BAD CHARACTERS"" with CRIMINAL records ahead of the CJP protest and took 215 people into PREVENTIVE CUSTODY based on intelligence inputs to PREVENT any law-and-order disruption.', '🚨 BIG BREAKING\n\nDelhi Police IDENTIFIED several ""BAD CHARACTERS"" with CRIMINAL records ahead of the CJP protest and took 215 people into PREVENTIVE CUSTODY based on intelligence inputs to PREVENT any law-and-order disruption.']"
8,53,8_court_delhi high_high court_high,"['court', 'delhi high', 'high court', 'high', 'nia', 'pil', 'probe', 'seeking', 'rejects', 'delhi']","['#BREAKING: Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.', '#BREAKING: Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.', '#BREAKING: Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.']"
