Topic,Count,Name,Representation,Representative_Docs
-1,285,-1_police_protest_cjp_delhi,"['police', 'protest', 'cjp', 'delhi', 'https', 'cjp protest', 'delhi police', 'students', 'people', 'india']","['#Breaking Jamia students are being detained by Delhi police. These 3 students from Jamia escaped Delhi police’s preventive detention at Nizamuddin a few minutes back. Listen to how they were forcefully taken by police while they were on their way to the protest. Students are https://t.co/QQDzJUCmG7', 'The Students Islamic Organisation of India (SIO) held a protest at #Hyderabad’s #Charminar after Friday prayers, expressing solidarity with students in Delhi. The demonstration condemned the alleged police action against students and called for accountability. #JantarMantar https://t.co/p1YRZhYpTj', 'The Students Islamic Organisation of India (SIO) held a protest at #Hyderabad’s #Charminar after Friday prayers, expressing solidarity with students in Delhi. The demonstration condemned the alleged police action against students and called for accountability. #JantarMantar https://t.co/fJitlFOt3q']"
0,225,0_protest_cjp_modi_delhi,"['protest', 'cjp', 'modi', 'delhi', 'cjp protest', 'https', 'india', 'bjp', 'riots', 'ji']","['@VijayGajeraO Since 2014_\n-Intolerance campaign\n-Award return show by Urban Naxals\n-Shaheen Bagh\n-Delhi Riots\n-Fake Farmers Protest\n-Republic Day Riots\n-Manipur Kuki Terrorism\n-West Bengal Anti-Hindu Riots by TMC\n-AAP-CJP rampage\n\nHardly any concrete action after winning elections everywhere🤐 https://t.co/MMWfBZrmjV', '@Sanjay_Dixit Since 2014_\n-Intolerance campaign\n-Award return show by Urban Naxals\n-Shaheen Bagh\n-Delhi Riots\n-Fake Farmers Protest\n-Republic Day Riots\n-Manipur Kuki Terrorism\n-West Bengal Anti-Hindu Riots by TMC\n-AAP-CJP rampage\n\nHardly any concrete action after winning elections everywhere🤐 https://t.co/M0723MKhTo', '@PankajjKashyapp Lion since 2014_\n-Intolerance campaign\n-Award return show by Urban Naxals\n-Shaheen Bagh\n-Delhi Riots\n-Fake Farmers Protest\n-Republic Day Riots\n-Manipur Kuki Terrorism\n-West Bengal Anti-Hindu Riots by TMC\n-AAP/CJP rampage\n\nHardly any tough action after winning elections everywhere https://t.co/ekBzbNZPfs']"
1,128,1_cockroach_party_janta_janta party,"['cockroach', 'party', 'janta', 'janta party', 'cockroach janta', 'party cjp', 'delhi', 'protest', 'https', 'mantar']","['Cockroach Janta Party | CJP Protest\nJantar Mantar, Delhi 📍\n\n🚫 Corono Days - Thali Bajao 😎\n\nGo Pradhan go. https://t.co/Xz2ivTJlRH', 'This is why Cockroach janta party CJP Protest failed in Delhi https://t.co/0v6Kc8m3Rb', 'Cockroach Janta Party | CJP Protest\nJantar Mantar, Delhi 📍\nDharamder Pradhan - RESIGNATION https://t.co/6qMMF0YHAD']"
2,113,2_pradhan_dharmendra_dharmendra pradhan_education,"['pradhan', 'dharmendra', 'dharmendra pradhan', 'education', 'education minister', 'minister', 'resignation', 'resigned', 'https', 'union education']","['#BREAKING Delhi| After Union Education Minister Dharmendra Pradhan shared a letter stating that he has submitted his resignation to Prime Minister Narendra Modi, CJP founder @abhijeet_dipke \n\n“Dharmendra Pradhan has resigned. This proves that if you do not get scared or bow down https://t.co/oybuRBHrCw', 'VIDEO | Delhi: As Union Education Minister Dharmendra Pradhan posts a letter, saying he has sent his resignation to PM Modi, CJP founder Abhijeet Dipke says, “Dharmendra Pradhan has resigned. This is the proof that if you don’t get scared, if you don’t bow down in front of this https://t.co/ztgGjB21uu', '#India: Jantar Mantar protest LIVE: Dharmendra Pradhan resigns as Union Education Minister\nhttps://t.co/JgZkbdHWTw via @the_hindu']"
3,88,3_police_jantar mantar_mantar_jantar,"['police', 'jantar mantar', 'mantar', 'jantar', 'delhi police', 'stones', 'cjp', 'delhi', 'https', 'protest']","['Delhi Police were just patrolling peacefully at Jantar Mantar, but behind them some protesters were trying to provoke them.\n\nThey were chanting ""Delhi Police hay hay,"" and some were even shouting that the police doing a lathi charge, even though they were not.\n\nThis is the https://t.co/EwgLd1XrB6', 'Delhi Police reaction after Lathi Charge at Jantar Mantar for CJP Protest https://t.co/KiL8VgbtC9', 'Delhi Police reaction after Lathi Charge at Jantar Mantar for CJP Protest https://t.co/kvekTe04Hk']"
4,86,4_spokesperson_nadda_union_jp nadda,"['spokesperson', 'nadda', 'union', 'jp nadda', 'jp', 'ministers', 'union ministers', 'talks', 'meeting', 'jitendra singh']","[""Delhi | Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. \n🪳✊ #CJP Protest #Live Updates ➠ https://t.co/uzcG4xQiaM 📋 https://t.co/D8IYtzM577"", ""#WATCH | Delhi: Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. \n🪳✊ #CJP Protest #Live Updates ➠ https://t.co/uzcG4xQiaM 📋 https://t.co/xd1YCYBIzI"", ""#IGR: Union Ministers JP Nadda and Jitendra Singh held a third round of talks with CJP Chief Spokesperson Saurav Das and National Spokesperson Ashutosh Ranka in New Delhi, as the government continued negotiations with protest leaders following Pradhan's resignation. https://t.co/djQ0wTjZNj""]"
5,76,5_metro_stations_delhi metro_metro stations,"['metro', 'stations', 'delhi metro', 'metro stations', '18', 'amid', 'shut', 'closed', 'delhi', 'amid cjp']","['18 Delhi Metro stations remain shut for fourth straight day amid CJP protest https://t.co/pM2B1nuRAC', '18 Delhi Metro stations remain shut for fourth straight day amid CJP protest https://t.co/BJ17VqimlJ https://t.co/h4ZRNzOeTD', 'STORY | 18 Delhi Metro stations remain shut for fourth straight day amid CJP protest\n\nEighteen Delhi Metro stations in central Delhi remained closed for the fourth straight day on Saturday due to security concerns amid the ongoing Cockroach Janta Party (CJP) protest near the https://t.co/ShVEgl7lpM']"
6,50,6_neet_protest_cjp_students,"['neet', 'protest', 'cjp', 'students', 'student', 'cjp protest', 'tamil', 'delhi', 'https', 'movement']","['In CJP NEET protest,,, Already have criminal records person attended to participated the CJP protest\n\nBut CJP allegedly said lie to Public - We doing NEET protest for Gen Z , very peaceful protest \n\nBut what CJP did with proofs 👇  in Delhi NEET protest \n\nFRC can identified all https://t.co/InyElZBGtA', '@VKreflections @MacroMatrix1 CJP Delhi demands a fair NEET while CJP Chennai demands a ban on NEET. Did you listen to his full speech? He covered all the issues related to NEET and the protest. Additionally, he also addressed the Tamil Nadu govt’s lack of action on Dalit issues in his own stage.', '1) CJP Delhi protest has 3 clear demands and Ban NEET is NOT one of them\n\n2) So how is demanding Ban NEET in Tamil Nadu called a supportive protest for CJP\n\n3)  Pushing Ban NEET and singing about religious riots is this really a student support protest. https://t.co/Cj8SFK0O33']"
7,50,7_police_recognition_delhi police_facial recognition,"['police', 'recognition', 'delhi police', 'facial recognition', 'facial', 'criminal', 'identified', 'criminals', 'frs', 'criminal records']","['Delhi police flags 400 people with criminal records near CJP protest using facial recognition system‼️‼️⁉️', ""CJp protest 400 criminals record found in Jantar Mantar protest. !!!\n\nDelhi Police's FRS identified around 400 people with criminal records in and around the Jantar Mantar protest site between July 20 and July 24, with some suspects also linked to the July 20 vandalism\n\nSource - https://t.co/UCsibpZPWz"", ""🚨 BIG BREAKING \n\nDelhi Police's Facial Recognition System (FRS) IDENTIFIED 2,500+ people with CRIMINAL antecedents during the Jantar Mantar protest by matching live camera feeds with its database. https://t.co/6i6lVm9h2N""]"
8,48,8_sonam_wangchuk_sonam wangchuk_strike,"['sonam', 'wangchuk', 'sonam wangchuk', 'strike', 'hunger strike', 'hunger', 'hospital', 'ended', 'protest', 'abhijeet']","[""A day after Sonam Wangchuk ended his 26-day hunger strike, the protest at Delhi's Jantar Mantar continues.\n\nProtesters remain gathered at the site, as the CJP presses ahead with its demands, including the resignation of Union Education Minister Dharmendra Pradhan.\n\n#JantarMantar https://t.co/nDx60jDInL"", ""A day after Sonam Wangchuk ended his 26-day hunger strike, the protest at Delhi's Jantar Mantar continues.\n\nProtesters remain gathered at the site, as the CJP presses ahead with its demands, including the resignation of Union Education Minister Dharmendra Pradhan.\n\n#JantarMantar https://t.co/2Yu78gVj4u"", 'Man mistakenly joins CJP protest thinking it was about Sonam Bajwa, not Sonam Wangchuk. 😂\n\nMAN : ""Who is Sonam Wangchuk? I don\'t know about him""\n\nhttps://t.co/yF39aK14Ft']"
