Topic,Count,Name,Representation,Representative_Docs
-1,386,-1_man_riots_students_anti,"['man', 'riots', 'students', 'anti', 'support', 'government', 'delhi protest', 'watch', 'umar', 'tmc']","['Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐', 'Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐', 'Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐']"
0,147,0_dharmendra_dharmendra pradhan_pradhan_education minister,"['dharmendra', 'dharmendra pradhan', 'pradhan', 'education minister', 'education', 'resignation', 'minister dharmendra', 'minister', 'union education', 'resigned']","[""CJP Keeps Pressure on Centre, Seeks Education Minister's Resignation New Delhi, July 24, 2026 The Cockroach Janta Party (CJP) has intensified its campaign over the NEET paper leak issue, maintaining that Education Minister Dharmendra Pradhan must resign or be removed from"", 'CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met: Compensation of ₹1 crore for families of students who died by suicide. Delhi Police public apology. (1/2)', 'Cockroach Janta Party (CJP) supporters, and Volunteers protest seeking resignation of Union Education Minister Dharmendra Pradhan over alleged examination irregularities and NEET paper leak in New Delhi on July 24, 2026. 📸 : Shashi Shekhar Kashyap']"
1,114,1_modi govt_modi_did_kerala,"['modi govt', 'modi', 'did', 'kerala', 'congress', 'bjp', 'permission', 'farmers', 'failure', 'private property']","['The Delhi High Court has granted permission to an NGO to file a case of recovery of compensation due to damage of public & private property by the CJP protestors. (Those who have vandalised public or private property should be made liable to compensate for the losses.)', 'This is amazing! CJP and Sonam Wangchuk: One month protest at Jantar Mantar. Modi govt refuses to talk to them Rahul Gandhi: Allowed to protest outside PM residence. In one hour Modi Govt starts dialogue Wah! Kya jugalbandi hai!', '1. Kishan Protest 2. Shaheen Bagh 3. Delhi Riots Now CJP . I feel Modi is done now . he needs to pass the baton to Amit Shah ji and Yogi ji . Resignation is not wrong but the timing is wrong and he ultimately surrenders to streets not genuine students 🙏']"
2,83,2_2026_july_march_july 2026,"['2026', 'july', 'march', 'july 2026', '6th', 'july 27', '00', 'farmers', 'ongoing students', '00 pm']","[""Bharatiya Kisan Union (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted."", ""Bharatiya Kisan Union (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted."", ""BKU (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted. cjp cjpprotest""]"
3,64,3_journalist_abuse_abusive_covering,"['journalist', 'abuse', 'abusive', 'covering', 'journalists', 'abusing', 'covering cjp', 'female', 'khan', 'cjp goons']","['She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one. Now yesterday, she was threatening the Delhi Police to beat them with lathis. GenZWithBharat PMModi', '🚨 She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one. Now yesterday, she was threatening the Delhi Police to beat them with lathis. Just a few hours later,', 'WTF Is Happening At CJP Protest? A journalist was randomly declared ""Godi Media"". And brutally beaten by a hundreds of CJP goons. And people on camera are celebrating these mob attacks on journalists. Instead of publicly conedming these mob attacks, CJP is shamelessly']"
4,58,4_ban_neet_gen_student,"['ban', 'neet', 'gen', 'student', 'neet students', 'tamil nadu', 'nadu', 'protest neet', 'think', 'tamil']","['Delhi: When asked whether opposition parties hijacked the ongoing protest, former CJP spokesperson Vijeta Dahiya says, ""It\'s not as if we are a political party. The CJP is unregistered, just like the RSS. This is a people\'s movement, a youth movement. We ourselves invited them.', '1) CJP Delhi protest has 3 clear demands and Ban NEET is NOT one of them 2) So how is demanding Ban NEET in Tamil Nadu called a supportive protest for CJP 3) Pushing Ban NEET and singing about religious riots is this really a student support protest.', 'CJP Delhi demands a fair NEET while CJP Chennai demands a ban on NEET. Did you listen to his full speech? He covered all the issues related to NEET and the protest. Additionally, he also addressed the Tamil Nadu govt’s lack of action on Dalit issues in his own stage.']"
5,55,5_metro_stations_delhi metro_metro stations,"['metro', 'stations', 'delhi metro', 'metro stations', '18', 'closed', '18 delhi', 'delhimetro', 'shut', 'remain']","['18 Delhi Metro stations remain shut for fourth straight day amid CJP protest DelhiMetro DMRC CJPProtest', 'For the fourth consecutive day, 18 Delhi Metro stations in central Delhi remain closed due to heightened security around the ongoing CJP protest near Jantar Mantar. Services are suspended from 7:30 AM until further notice, while interchange facilities remain available at Rajiv', 'STORY | 18 Delhi Metro stations remain shut for fourth straight day amid CJP protest Eighteen Delhi Metro stations in central Delhi remained closed for the fourth straight day on Saturday due to security concerns amid the ongoing Cockroach Janta Party (CJP) protest near the']"
6,50,6_stones_pelting_lathi_lathi charge,"['stones', 'pelting', 'lathi', 'lathi charge', 'attacked', 'pelting stones', 'nihang', 'sikhs', 'stone pelting', 'stone']","['The Nihang Sikhs who came to support the CJP protest are now disappointed themselves. They are saying that people here are consuming drugs, deliberately pelting stones at the police, and creating riots. It took them just two days to realize what was happening here. But the', 'Reality of CJP Protest! Police was standing peacefully, CJP Goons attacked them, pelted stones at Police. Peek TV which promoted CJP got stuck in the attack and its anchor fell down. They finally had to run away because of the violent CJP Goons.', ""Nihang Sikhs are now beating CJP protesters at Jantar Mantar. According to them, this is no longer a protest. It's a fair. People come here only to hurl abusive slogans, mess around, and throw stones or bottles at the police. This is no longer a peaceful protest. They say""]"
7,46,7_jp_jp nadda_union ministers_jitendra singh,"['jp', 'jp nadda', 'union ministers', 'jitendra singh', 'jitendra', 'nadda', 'ministers', 'meeting', 'nadda jitendra', 'saurav das']","['Watch | Delhi: A meeting was held between Union Ministers JP Nadda and Jitendra Singh and Cockroach Janta Party’s Chief Spokesperson Saurav Das and National Spokesperson Ashutosh Ranka. | | | | | Delhi |', ""Delhi | Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋"", ""WATCH | Delhi: Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋""]"
8,43,8_party_cockroach_cockroach janta_janta,"['party', 'cockroach', 'cockroach janta', 'janta', 'janta party', 'party cjp', 'janata', 'janata party', 'cockroach janata', 'mantar cockroach']","['Watch | Delhi Police held a press conference on the ongoing Cockroach Janata Party (CJP) protest. DCP Central Rohit Rajbir Singh said, ""Our investigation has revealed that some social media accounts operated from Pakistan are spreading fake content related to the protest. So', 'WATCH | Delhi: On the misleading and false information related to Jantar Mantar protest, DCP Central Rohit Rajbir Singh says, ""A protest has been going on at Jantar Mantar for the past several weeks by the Cockroach Janata Party... Information on social media goes viral very', '🚨 NewsAlert | Delhi Police held a press conference regarding the ongoing Cockroach Janata Party (CJP) protest. 📌 DCP Central Rohit Rajbir Singh said, ""For the past several weeks, the Cockroach Janata Party (CJP) protest has been underway at Jantar Mantar. Information spreads']"
