Topic,Count,Name,Representation,Representative_Docs
-1,285,-1_police_protest_cjp_delhi,"['police', 'protest', 'cjp', 'delhi', 'https', 'cjp protest', 'delhi police', 'students', 'people', 'india']","['@PankajjKashyapp Lion since 2014_\n-Intolerance campaign\n-Award return show by Urban Naxals\n-Shaheen Bagh\n-Delhi Riots\n-Fake Farmers Protest\n-Republic Day Riots\n-Manipur Kuki Terrorism\n-West Bengal Anti-Hindu Riots by TMC\n-AAP/CJP rampage\n\nHardly any tough action after winning elections everywhere https://t.co/ekBzbNZPfs', '@Sanjay_Dixit Since 2014_\n-Intolerance campaign\n-Award return show by Urban Naxals\n-Shaheen Bagh\n-Delhi Riots\n-Fake Farmers Protest\n-Republic Day Riots\n-Manipur Kuki Terrorism\n-West Bengal Anti-Hindu Riots by TMC\n-AAP-CJP rampage\n\nHardly any concrete action after winning elections everywhere🤐 https://t.co/M0723MKhTo', '@VijayGajeraO Since 2014_\n-Intolerance campaign\n-Award return show by Urban Naxals\n-Shaheen Bagh\n-Delhi Riots\n-Fake Farmers Protest\n-Republic Day Riots\n-Manipur Kuki Terrorism\n-West Bengal Anti-Hindu Riots by TMC\n-AAP-CJP rampage\n\nHardly any concrete action after winning elections everywhere🤐 https://t.co/MMWfBZrmjV']"
0,128,0_cockroach_party_janta party_janta,"['cockroach', 'party', 'janta party', 'janta', 'cockroach janta', 'party cjp', 'delhi', 'https', 'mantar', 'jantar mantar']","[""After talks with the government, Cockroach Janta Party (CJP) National Spokesperson Ashutosh Ranka said all of the group's demands have been accepted and appealed to protesters at Delhi's Jantar Mantar to withdraw peacefully and return home safely. He said the party would share https://t.co/iTsyp24INW"", '#WATCH | Delhi: After talks with the government, Cockroach Janta Party\'s National Spokesperson Ashutosh Ranka says, ""We held three rounds of discussions with the government delegation. Our protest at Jantar Mantar, which was going on for several days, had three main demands: https://t.co/erlp8eXgBz', '#WATCH | Delhi: After talks with the government, Cockroach Janta Party\'s National Spokesperson Ashutosh Ranka says, ""We held three rounds of discussions with the government delegation. Our protest at Jantar Mantar, which was going on for several days, had three main demands: https://t.co/6rJcrkaTiH']"
1,113,1_pradhan_dharmendra_dharmendra pradhan_education,"['pradhan', 'dharmendra', 'dharmendra pradhan', 'education', 'education minister', 'minister', 'resignation', 'resigned', 'union education', 'https']","['After Union Education Minister Dharmendra Pradhan’s resignation, a celebratory atmosphere was witnessed at the protest site in New Delhi’s Jantar Mantar. CJP founder Abhijeet Dipke and other protesters celebrated, calling it a major victory for their movement.\n\n#CJPProtest https://t.co/NZdfDQiqcq', 'VIDEO | Delhi: As Union Education Minister Dharmendra Pradhan posts a letter, saying he has sent his resignation to PM Modi, CJP founder Abhijeet Dipke says, “We have done it. Dharmendra Pradhan has resigned.”\n\n(Full video available on PTI Videos - https://t.co/n147TvrpG7) https://t.co/M7XmkgYhRG', 'VIDEO | Delhi: As Union Education Minister Dharmendra Pradhan posts a letter, saying he has sent his resignation to PM Modi, CJP founder Abhijeet Dipke says, “Dharmendra Pradhan has resigned. This is the proof that if you don’t get scared, if you don’t bow down in front of this https://t.co/ztgGjB21uu']"
2,86,2_spokesperson_nadda_union_jp nadda,"['spokesperson', 'nadda', 'union', 'jp nadda', 'jp', 'union ministers', 'ministers', 'meeting', 'talks', 'jitendra singh']","[""Delhi | Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. \n🪳✊ #CJP Protest #Live Updates ➠ https://t.co/uzcG4xQiaM 📋 https://t.co/D8IYtzM577"", ""#IGR: Union Ministers JP Nadda and Jitendra Singh held a third round of talks with CJP Chief Spokesperson Saurav Das and National Spokesperson Ashutosh Ranka in New Delhi, as the government continued negotiations with protest leaders following Pradhan's resignation. https://t.co/djQ0wTjZNj"", ""#WATCH | Delhi: Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. \n🪳✊ #CJP Protest #Live Updates ➠ https://t.co/uzcG4xQiaM 📋 https://t.co/xd1YCYBIzI""]"
3,76,3_metro_stations_delhi metro_metro stations,"['metro', 'stations', 'delhi metro', 'metro stations', '18', 'amid', 'shut', 'closed', 'amid cjp', 'delhi']","['For the fourth consecutive day, 18 Delhi Metro stations in central Delhi remain closed due to heightened security around the ongoing CJP protest near Jantar Mantar. \n\nServices are suspended from 7:30 AM until further notice, while interchange facilities remain available at Rajiv https://t.co/gRqQhn35SC', 'Eighteen Delhi Metro stations in central Delhi remained closed for the fourth consecutive day on Saturday due to security concerns amid the ongoing CJP-led protest at Jantar Mantar. According to the DMRC, the stations will remain shut from 7:30 am until further notice, while https://t.co/NyWM1PROpe', 'STORY | 18 Delhi Metro stations remain shut for fourth straight day amid CJP protest\n\nEighteen Delhi Metro stations in central Delhi remained closed for the fourth straight day on Saturday due to security concerns amid the ongoing Cockroach Janta Party (CJP) protest near the https://t.co/ShVEgl7lpM']"
4,57,4_cjp protest_journalist_https_cjp,"['cjp protest', 'journalist', 'https', 'cjp', 'covering', 'protest', 'media', 'prime', 'prime minister', 'nepal']","['She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one.\n\nNow yesterday, she was threatening the Delhi Police to beat them with lathis.\n#GenZWithBharat \n#PMModi https://t.co/ClmFHNS6fZ', 'WTF Is Happening At CJP Protest?\n\nA journalist was randomly declared ""Godi Media"". \n\nAnd brutally beaten by a hundreds of CJP goons.\n\nAnd people on camera are celebrating these mob attacks on journalists.\n\nInstead of publicly conedming these mob attacks, CJP is shamelessly https://t.co/0p63fbqPew', '🚨 She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one.\n\nNow yesterday, she was threatening the Delhi Police to beat them with lathis. Just a few hours later, https://t.co/QJgbkcFgBj']"
5,50,5_neet_protest_students_cjp,"['neet', 'protest', 'students', 'cjp', 'student', 'cjp protest', 'tamil', 'tamil nadu', 'nadu', 'movement']","['Urgent attention is needed regarding the CJP Tamil Nadu protest.\n\n@abhijeet_dipke @Wangchuk66 @Cockroachisback @CJP_for_India \n\nPlease review what is happening under the CJP banner in Tamil Nadu.  A protest supposedly demanding a fair NEET has been diverted into personal attacks https://t.co/syI1GabwQj', '1) CJP Delhi protest has 3 clear demands and Ban NEET is NOT one of them\n\n2) So how is demanding Ban NEET in Tamil Nadu called a supportive protest for CJP\n\n3)  Pushing Ban NEET and singing about religious riots is this really a student support protest. https://t.co/Cj8SFK0O33', '@VKreflections @MacroMatrix1 CJP Delhi demands a fair NEET while CJP Chennai demands a ban on NEET. Did you listen to his full speech? He covered all the issues related to NEET and the protest. Additionally, he also addressed the Tamil Nadu govt’s lack of action on Dalit issues in his own stage.']"
6,45,6_india_ki_protest_cjp,"['india', 'ki', 'protest', 'cjp', 'world', 'delhi', 'media', 'cjp protest', 'common', 'govt']","['@Reuters Thank you world for showing the real picture of India. Mainstream media is sold out or spineless. We common people now depend on you and social media. Keep supporting the #CJP protest at #JantarMantar, New Delhi and across #India #World🙏', '@AP Thank you world for showing the real picture of India.  Mainstream media is sold out (to Moti) or spineless. We common people now depend on you and social media. Keep supporting the #CJP protest at #JantarMantar, New Delhi and across #India #World🙏', '@business Thank you world for showing the real picture of India. Mainstream media is sold out or spineless. We common people now depend on you and social media. Keep supporting the #CJP protest at #JantarMantar, New Delhi and across #India #World🙏']"
7,53,7_stones_police_jantar mantar_mantar,"['stones', 'police', 'jantar mantar', 'mantar', 'jantar', 'cjp', 'nihang', 'pelting', 'protest', 'https']","['Now even Chandrashekhar Azad Ravan is openly expressing his anger at these CJP protesters.\n\nAccording to him, they are not holding a peaceful protest. Instead, they deliberately clash with the police and throw bottles and stones at them.\n\nHe is also saying, ""Then why do you https://t.co/wT8P5pZ5qO', 'A girl went to support students at Jantar Mantar.\n\nListen to her experience.\n\n- Police was standing peacefully\n- Some CJP Supporters started throwing stones\n- few moments later more supporters started pelting stones at Police.\n\nSays now the protest is not in control, anti-India https://t.co/DT5G1UwATq', ""Nihang Sikhs are now beating CJP protesters at Jantar Mantar.\n\nAccording to them, this is no longer a protest. It's a fair. People come here only to hurl abusive slogans, mess around, and throw stones or bottles at the police.\n\nThis is no longer a peaceful protest. They say https://t.co/7y1NOo8xq1""]"
8,48,8_sonam_wangchuk_sonam wangchuk_strike,"['sonam', 'wangchuk', 'sonam wangchuk', 'strike', 'hunger strike', 'hunger', 'hospital', 'ended', 'abhijeet', 'protest']","['A video showing activist Sonam Wangchuk inside Delhi\'s Safdarjung Hospital has gone viral, capturing moments after he was shifted there from the Jantar Mantar protest site during his hunger strike. The footage shows Wangchuk confronting a police officer and alleging ""harassment"" https://t.co/isnbuNbIjP', ""A day after Sonam Wangchuk ended his 26-day hunger strike, the protest at Delhi's Jantar Mantar continues.\n\nProtesters remain gathered at the site, as the CJP presses ahead with its demands, including the resignation of Union Education Minister Dharmendra Pradhan.\n\n#JantarMantar https://t.co/nDx60jDInL"", ""A day after Sonam Wangchuk ended his 26-day hunger strike, the protest at Delhi's Jantar Mantar continues.\n\nProtesters remain gathered at the site, as the CJP presses ahead with its demands, including the resignation of Union Education Minister Dharmendra Pradhan.\n\n#JantarMantar https://t.co/2Yu78gVj4u""]"
