Topic,Count,Name,Representation,Representative_Docs
-1,548,-1_support_riots_students_man,"['support', 'riots', 'students', 'man', 'student', 'modi', 'just', 'watch', 'protests', 'bjp']","['Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐', 'Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐', 'Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐']"
0,68,0_dharmendra pradhan_dharmendra_education minister_pradhan,"['dharmendra pradhan', 'dharmendra', 'education minister', 'pradhan', 'minister dharmendra', 'union education', 'pradhan resigned', 'resigned', 'education', 'minister']","['VIDEO | Delhi: As Union Education Minister Dharmendra Pradhan posts a letter, saying he has sent his resignation to PM Modi, CJP founder Abhijeet Dipke says, “Dharmendra Pradhan has resigned. This is the proof that if you don’t get scared, if you don’t bow down in front of this', 'CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met: Compensation of ₹1 crore for families of students who died by suicide. Delhi Police public apology. Action against those who ordered', 'CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met: Compensation of ₹1 crore for families of students who died by suicide. Delhi Police public apology. (1/2)']"
1,54,1_metro_stations_delhi metro_metro stations,"['metro', 'stations', 'delhi metro', 'metro stations', '18', '18 delhi', 'closed', 'delhimetro', 'shut', 'remain']","['18 Delhi Metro stations remain shut for fourth straight day amid CJP protest DelhiMetro DMRC CJPProtest', 'For the fourth consecutive day, 18 Delhi Metro stations in central Delhi remain closed due to heightened security around the ongoing CJP protest near Jantar Mantar. Services are suspended from 7:30 AM until further notice, while interchange facilities remain available at Rajiv', 'STORY | 18 Delhi Metro stations remain shut for fourth straight day amid CJP protest Eighteen Delhi Metro stations in central Delhi remained closed for the fourth straight day on Saturday due to security concerns amid the ongoing Cockroach Janta Party (CJP) protest near the']"
2,51,2_cockroach_cockroach janta_party_janta,"['cockroach', 'cockroach janta', 'party', 'janta', 'janta party', 'party cjp', 'cockroach janata', 'janata', 'janata party', 'party protest']","['Watch | Delhi Police held a press conference on the ongoing Cockroach Janata Party (CJP) protest. DCP Central Rohit Rajbir Singh said, ""Our investigation has revealed that some social media accounts operated from Pakistan are spreading fake content related to the protest. So', '🚨 NewsAlert | Delhi Police held a press conference regarding the ongoing Cockroach Janata Party (CJP) protest. 📌 DCP Central Rohit Rajbir Singh said, ""For the past several weeks, the Cockroach Janata Party (CJP) protest has been underway at Jantar Mantar. Information spreads', 'WATCH | Delhi: On the misleading and false information related to Jantar Mantar protest, DCP Central Rohit Rajbir Singh says, ""A protest has been going on at Jantar Mantar for the past several weeks by the Cockroach Janata Party... Information on social media goes viral very']"
3,47,3_6th_attended cjp_best_delhi day,"['6th', 'attended cjp', 'best', 'delhi day', 'attended', '00', 'republic', 'tv', 'video cjp', 'assemble']","['Arfa Khanum becomes angry while reporting on CJP protest in Delhi ""Over 2-3 crore people follow CJP on Social media yet only 1000-2000 people showed up on protest site today"" - She says with tears in her eyes 😂 1 aur zakhm..', 'Republic TV at 8:00 AM: 🇺🇸Soros and deep agents are behind the Delhi protest Republic TV at 2:00 PM: 🇨🇳China is scripting regime change in India via the Delhi protest Republic TV at 7:00 PM: 🇧🇩Bangladesh is funding the protest', 'EPSIODE:1 | Black Day For Indian Democracy 💔🥲 | CJP PROTEST | Abhijeet Dipke | CJP Protest Jantar Mantar | Delhi Protest | 20th July 2026 | CJP latest News | Priyanshu Rai facts abhijeetdipke cjp cjpprotest delhiprotest jantarmantar cjp2026 priyanshurai']"
4,47,4_jp_jp nadda_union ministers_jitendra,"['jp', 'jp nadda', 'union ministers', 'jitendra', 'jitendra singh', 'nadda', 'ministers', 'meeting', 'nadda jitendra', 'saurav das']","['Watch | Delhi: A meeting was held between Union Ministers JP Nadda and Jitendra Singh and Cockroach Janta Party’s Chief Spokesperson Saurav Das and National Spokesperson Ashutosh Ranka. | | | | | Delhi |', ""Delhi | Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋"", ""WATCH | Delhi: Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋""]"
5,44,5_abuse_journalists_journalist_covering,"['abuse', 'journalists', 'journalist', 'covering', 'abusive', 'cjp goons', 'abusing', 'caught', 'godi', 'godi media']","[""Delhi: At the CJP protest, these girls are loudly chanting abusive and vulgar slogans against India's Prime Minister, Narendra Modi, while laughing shamelessly. It looks like they're trying to gain attention through offensive behaviour rather than discussing the issues. When"", 'Ground Reality Of CJP Protest : Four more persons at different occasions, were randomly declared as ""Godi Media"" and brutally thrashed by CJP goons, at Jantar Mantar. All these attacks on ""journalists"" are being livestreamed and celebrated on Instagram. Abhijeet Dipke has not', 'WTF Is Happening At CJP Protest? A journalist was randomly declared ""Godi Media"". And brutally beaten by a hundreds of CJP goons. And people on camera are celebrating these mob attacks on journalists. Instead of publicly conedming these mob attacks, CJP is shamelessly']"
6,38,6_neet_ban_neet protest_neet students,"['neet', 'ban', 'neet protest', 'neet students', 'tamil nadu', 'nadu', 'protest neet', 'better', 'tamil', 'cjp cjp']","['1) CJP Delhi protest has 3 clear demands and Ban NEET is NOT one of them 2) So how is demanding Ban NEET in Tamil Nadu called a supportive protest for CJP 3) Pushing Ban NEET and singing about religious riots is this really a student support protest.', 'CJP Will CJP support NEET or NEET Ban totally? Will CJP confirm only Education Minister resign to take over another Ministry in rejig? Will CJP respect DELHI or use outsiders to punish Delhi people? Will CJP help kids to get govt jobs in all States? Protest in Taluks for kids', 'CJP Delhi demands a fair NEET while CJP Chennai demands a ban on NEET. Did you listen to his full speech? He covered all the issues related to NEET and the protest. Additionally, he also addressed the Tamil Nadu govt’s lack of action on Dalit issues in his own stage.']"
7,38,7_recognition_criminal_identified_facial recognition,"['recognition', 'criminal', 'identified', 'facial recognition', 'facial', 'criminal records', 'records', 'frs', 'criminals', '400']","['BIG EXPOSE | CJP Protest 250 criminals visited Protest They created riot like situation Delhi Police FRS system has identified 250 wanted criminals who allegedly visited the CJP protest site. Sources claim many of them were present to fuel violence and create a riot-like', '🚨 BIG BREAKING Delhi Police IDENTIFIED several ""BAD CHARACTERS"" with CRIMINAL records ahead of the CJP protest and took 215 people into PREVENTIVE CUSTODY based on intelligence inputs to PREVENT any law-and-order disruption.', '🚨 BIG BREAKING Delhi Police IDENTIFIED several ""BAD CHARACTERS"" with CRIMINAL records ahead of the CJP protest and took 215 people into PREVENTIVE CUSTODY based on intelligence inputs to PREVENT any law-and-order disruption.']"
8,35,8_stones_pelting_nihang_pelting stones,"['stones', 'pelting', 'nihang', 'pelting stones', 'sikhs', 'nihang sikhs', 'attacked', 'stone pelting', 'stone', 'saying']","['The Nihang Sikhs who came to support the CJP protest are now disappointed themselves. They are saying that people here are consuming drugs, deliberately pelting stones at the police, and creating riots. It took them just two days to realize what was happening here. But the', 'Reality of CJP Protest! Police was standing peacefully, CJP Goons attacked them, pelted stones at Police. Peek TV which promoted CJP got stuck in the attack and its anchor fell down. They finally had to run away because of the violent CJP Goons.', ""Nihang Sikhs are now beating CJP protesters at Jantar Mantar. According to them, this is no longer a protest. It's a fair. People come here only to hurl abusive slogans, mess around, and throw stones or bottles at the police. This is no longer a peaceful protest. They say""]"
