Topic,Count,Name,Representation,Representative_Docs
-1,410,-1_delhi protest_protest cjp_cjp protest_protest jantar,"['delhi protest', 'protest cjp', 'cjp protest', 'protest jantar', 'protest delhi', 'delhi riots', 'modi', 'bjp', 'protests', 'protest']","['Lion since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP/CJP rampage Hardly any tough action after winning elections everywhere', 'Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐', 'Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐']"
0,147,0_protests_protest live_end protest_modi cjp,"['protests', 'protest live', 'end protest', 'modi cjp', 'cjp says', 'party cjp', 'resignation cjp', 'india', 'demanding resignation', 'agitation']","['CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met: Compensation of ₹1 crore for families of students who died by suicide. Delhi Police public apology. (1/2)', ""CJP Keeps Pressure on Centre, Seeks Education Minister's Resignation New Delhi, July 24, 2026 The Cockroach Janta Party (CJP) has intensified its campaign over the NEET paper leak issue, maintaining that Education Minister Dharmendra Pradhan must resign or be removed from"", 'Cockroach Janta Party (CJP) supporters, and Volunteers protest seeking resignation of Union Education Minister Dharmendra Pradhan over alleged examination irregularities and NEET paper leak in New Delhi on July 24, 2026. 📸 : Shashi Shekhar Kashyap']"
1,114,1_delhi riots_delhi police_bjp_bjp modi,"['delhi riots', 'delhi police', 'bjp', 'bjp modi', 'end cjp', 'riots', 'modi', 'police', 'dmk', 'opposition']","['The Delhi High Court has granted permission to an NGO to file a case of recovery of compensation due to damage of public & private property by the CJP protestors. (Those who have vandalised public or private property should be made liable to compensate for the losses.)', 'This is amazing! CJP and Sonam Wangchuk: One month protest at Jantar Mantar. Modi govt refuses to talk to them Rahul Gandhi: Allowed to protest outside PM residence. In one hour Modi Govt starts dialogue Wah! Kya jugalbandi hai!', '1. Kishan Protest 2. Shaheen Bagh 3. Delhi Riots Now CJP . I feel Modi is done now . he needs to pass the baton to Amit Shah ji and Yogi ji . Resignation is not wrong but the timing is wrong and he ultimately surrenders to streets not genuine students 🙏']"
2,83,2_cjp protest_protest cjp_protestors cjp_protest jantarmantarprotest,"['cjp protest', 'protest cjp', 'protestors cjp', 'protest jantarmantarprotest', 'delhi protest', 'delhi protests', 'protest delhi', 'protest pm', 'protest watch', 'protestors']","[""Bharatiya Kisan Union (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted."", ""Bharatiya Kisan Union (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted."", ""BKU (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted. cjp cjpprotest""]"
3,74,3_protest cjp_cjp protester_participated cjp_said cjp,"['protest cjp', 'cjp protester', 'participated cjp', 'said cjp', 'cjp delhi', 'protests', 'protester', 'protest gen', 'protested', 'peaceful protest']","['NEET topper bashing the so called student protest of CJP 🚨 Question: What do you think about student protest going on in our country ? She said : ""Look, from what I saw of this protest, I felt that there are no NEET students in this protest, the way they are chanting slogans', '1) CJP Delhi protest has 3 clear demands and Ban NEET is NOT one of them 2) So how is demanding Ban NEET in Tamil Nadu called a supportive protest for CJP 3) Pushing Ban NEET and singing about religious riots is this really a student support protest.', 'CJP Delhi demands a fair NEET while CJP Chennai demands a ban on NEET. Did you listen to his full speech? He covered all the issues related to NEET and the protest. Additionally, he also addressed the Tamil Nadu govt’s lack of action on Dalit issues in his own stage.']"
4,64,4_cjp goons_threatening delhi_anti bjp_happening cjp,"['cjp goons', 'threatening delhi', 'anti bjp', 'happening cjp', 'joined cjp', 'modi', 'bharat', 'kolkata', 'behaviour', 'hindutva']","['She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one. Now yesterday, she was threatening the Delhi Police to beat them with lathis. GenZWithBharat PMModi', '🚨 She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one. Now yesterday, she was threatening the Delhi Police to beat them with lathis. Just a few hours later,', 'WTF Is Happening At CJP Protest? A journalist was randomly declared ""Godi Media"". And brutally beaten by a hundreds of CJP goons. And people on camera are celebrating these mob attacks on journalists. Instead of publicly conedming these mob attacks, CJP is shamelessly']"
5,60,5_deployed delhi_protest site_protesters_questions delhi,"['deployed delhi', 'protest site', 'protesters', 'questions delhi', 'strike jantar', 'delhi police', 'protest paper', 'cjp spokesperson', 'led protest', 'protest food']","['VIDEO | Delhi Jantar Mantar Protest: CJP spokesperson Saurav Das, says, ""Our food and water is being stopped. Is Delhi Police trying to deprive people of food and water? Let the Delhi Police clarify its position. Instead of listening to the demands of the youth, the', 'Delhi: CJP spokesperson Saurav Das sat on a dharna after alleging that Delhi Police stopped food and water supplies at the protest site. He says, ""Access to clean water and food is a basic human right. Is Delhi Police trying to deprive people of food and water? Delhi Police', 'VIDEO | Jantar Mantar Protest: ""Food and water being stopped\', says CJP spokesperson Saurav Das in heated argument with Delhi Police. JantarMantarProtest CJP (Full video available on PTI Videos -']"
6,55,6_protest jantarmantar_cjp protests_protest near_protest live,"['protest jantarmantar', 'cjp protests', 'protest near', 'protest live', 'led protest', 'join protest', 'movement delhi', 'delhi amid', 'amid cjp', 'student movement']","['18 Delhi Metro stations remain shut for fourth straight day amid CJP protest DelhiMetro DMRC CJPProtest', 'For the fourth consecutive day, 18 Delhi Metro stations in central Delhi remain closed due to heightened security around the ongoing CJP protest near Jantar Mantar. Services are suspended from 7:30 AM until further notice, while interchange facilities remain available at Rajiv', 'STORY | 18 Delhi Metro stations remain shut for fourth straight day amid CJP protest Eighteen Delhi Metro stations in central Delhi remained closed for the fourth straight day on Saturday due to security concerns amid the ongoing Cockroach Janta Party (CJP) protest near the']"
7,50,7_cjp protesters_cjp protestor_cjp protestors_protesters jantar,"['cjp protesters', 'cjp protestor', 'cjp protestors', 'protesters jantar', 'cjp goons', 'cjp supporters', 'police cjp', 'cjp mob', 'violent cjp', 'protesters']","['The Nihang Sikhs who came to support the CJP protest are now disappointed themselves. They are saying that people here are consuming drugs, deliberately pelting stones at the police, and creating riots. It took them just two days to realize what was happening here. But the', 'Reality of CJP Protest! Police was standing peacefully, CJP Goons attacked them, pelted stones at Police. Peek TV which promoted CJP got stuck in the attack and its anchor fell down. They finally had to run away because of the violent CJP Goons.', ""Nihang Sikhs are now beating CJP protesters at Jantar Mantar. According to them, this is no longer a protest. It's a fair. People come here only to hurl abusive slogans, mess around, and throw stones or bottles at the police. This is no longer a peaceful protest. They say""]"
8,46,8_cjp spokesperson_cjp spokespersons_cjp chief_cjp representatives,"['cjp spokesperson', 'cjp spokespersons', 'cjp chief', 'cjp representatives', 'talks cjp', 'resignation cjp', 'singh cjp', 'cjp delegation', 'minister jp', 'video delhi']","['Watch | Delhi: A meeting was held between Union Ministers JP Nadda and Jitendra Singh and Cockroach Janta Party’s Chief Spokesperson Saurav Das and National Spokesperson Ashutosh Ranka. | | | | | Delhi |', ""Delhi | Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋"", ""WATCH | Delhi: Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋""]"
