Topic,Count,Name,Representation,Representative_Docs
-1,561,-1_students_support_modi_riots,"['students', 'support', 'modi', 'riots', 'government', 'dipke', 'watch', 'news', 'delhi protest', 'bjp']","['Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐', 'WATCH | Delhi: After talks with the government, Cockroach Janta Party\'s National Spokesperson Ashutosh Ranka says, ""We held three rounds of discussions with the government delegation. Our protest at Jantar Mantar, which was going on for several days, had three main demands:', ""After talks with the government, Cockroach Janta Party (CJP) Chief Spokesperson Saurav Das said the Centre has accepted the group's second key demand to withdraw FIRs filed against protesters in Delhi and BJP-ruled or BJP-allied states. Das said the government assured that copies""]"
0,74,0_ban_neet_student_better,"['ban', 'neet', 'student', 'better', 'gen', 'think', 'neet students', 'tamil nadu', 'nadu', 'cjp delhi']","['NEET topper bashing the so called student protest of CJP 🚨 Question: What do you think about student protest going on in our country ? She said : ""Look, from what I saw of this protest, I felt that there are no NEET students in this protest, the way they are chanting slogans', '1) CJP Delhi protest has 3 clear demands and Ban NEET is NOT one of them 2) So how is demanding Ban NEET in Tamil Nadu called a supportive protest for CJP 3) Pushing Ban NEET and singing about religious riots is this really a student support protest.', 'CJP Delhi demands a fair NEET while CJP Chennai demands a ban on NEET. Did you listen to his full speech? He covered all the issues related to NEET and the protest. Additionally, he also addressed the Tamil Nadu govt’s lack of action on Dalit issues in his own stage.']"
1,64,1_journalist_abuse_abusive_covering,"['journalist', 'abuse', 'abusive', 'covering', 'journalists', 'abusing', 'covering cjp', 'khan', 'female', 'cjp goons']","['She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one. Now yesterday, she was threatening the Delhi Police to beat them with lathis. GenZWithBharat PMModi', '🚨 She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one. Now yesterday, she was threatening the Delhi Police to beat them with lathis. Just a few hours later,', 'WTF Is Happening At CJP Protest? A journalist was randomly declared ""Godi Media"". And brutally beaten by a hundreds of CJP goons. And people on camera are celebrating these mob attacks on journalists. Instead of publicly conedming these mob attacks, CJP is shamelessly']"
2,60,2_food_water_food water_sealed,"['food', 'water', 'food water', 'sealed', 'security', 'junaid', 'arrangements', 'barricaded', 'heavy', 'sourav']","['VIDEO | Delhi Jantar Mantar Protest: CJP spokesperson Saurav Das, says, ""Our food and water is being stopped. Is Delhi Police trying to deprive people of food and water? Let the Delhi Police clarify its position. Instead of listening to the demands of the youth, the', 'Delhi: CJP spokesperson Saurav Das sat on a dharna after alleging that Delhi Police stopped food and water supplies at the protest site. He says, ""Access to clean water and food is a basic human right. Is Delhi Police trying to deprive people of food and water? Delhi Police', 'VIDEO | Jantar Mantar Protest: ""Food and water being stopped\', says CJP spokesperson Saurav Das in heated argument with Delhi Police. JantarMantarProtest CJP (Full video available on PTI Videos -']"
3,50,3_stones_pelting_lathi_lathi charge,"['stones', 'pelting', 'lathi', 'lathi charge', 'attacked', 'pelting stones', 'nihang', 'sikhs', 'stone pelting', 'stone']","['The Nihang Sikhs who came to support the CJP protest are now disappointed themselves. They are saying that people here are consuming drugs, deliberately pelting stones at the police, and creating riots. It took them just two days to realize what was happening here. But the', 'Reality of CJP Protest! Police was standing peacefully, CJP Goons attacked them, pelted stones at Police. Peek TV which promoted CJP got stuck in the attack and its anchor fell down. They finally had to run away because of the violent CJP Goons.', ""Nihang Sikhs are now beating CJP protesters at Jantar Mantar. According to them, this is no longer a protest. It's a fair. People come here only to hurl abusive slogans, mess around, and throw stones or bottles at the police. This is no longer a peaceful protest. They say""]"
4,46,4_jp_jp nadda_union ministers_jitendra,"['jp', 'jp nadda', 'union ministers', 'jitendra', 'jitendra singh', 'nadda', 'ministers', 'meeting', 'nadda jitendra', 'saurav das']","['Watch | Delhi: A meeting was held between Union Ministers JP Nadda and Jitendra Singh and Cockroach Janta Party’s Chief Spokesperson Saurav Das and National Spokesperson Ashutosh Ranka. | | | | | Delhi |', ""Delhi | Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋"", ""WATCH | Delhi: Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋""]"
5,44,5_education minister_education_union education_minister,"['education minister', 'education', 'union education', 'minister', 'dharmendra pradhan', 'minister dharmendra', 'dharmendra', 'pradhan', 'pradhan resigned', 'resigned']","[""CJP is celebrating the resignation of India's Education Minister, Dharmendra Pradhan. Yet it says the protest will not end until its other demands are met: ₹1 crore in compensation for the families of students who died by suicide. A public apology from the Delhi Police. Action"", 'CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met: Compensation of ₹1 crore for families of students who died by suicide. Delhi Police public apology. (1/2)', 'CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met: Compensation of ₹1 crore for families of students who died by suicide. Delhi Police public apology. Action against those who ordered']"
6,43,6_party_cockroach_cockroach janta_janta party,"['party', 'cockroach', 'cockroach janta', 'janta party', 'janta', 'party cjp', 'janata party', 'janata', 'cockroach janata', 'mantar cockroach']","['Watch | Delhi Police held a press conference on the ongoing Cockroach Janata Party (CJP) protest. DCP Central Rohit Rajbir Singh said, ""Our investigation has revealed that some social media accounts operated from Pakistan are spreading fake content related to the protest. So', 'WATCH | Delhi: On the misleading and false information related to Jantar Mantar protest, DCP Central Rohit Rajbir Singh says, ""A protest has been going on at Jantar Mantar for the past several weeks by the Cockroach Janata Party... Information on social media goes viral very', '🚨 NewsAlert | Delhi Police held a press conference regarding the ongoing Cockroach Janata Party (CJP) protest. 📌 DCP Central Rohit Rajbir Singh said, ""For the past several weeks, the Cockroach Janata Party (CJP) protest has been underway at Jantar Mantar. Information spreads']"
7,38,7_recognition_criminal_identified_facial,"['recognition', 'criminal', 'identified', 'facial', 'facial recognition', 'criminal records', 'records', 'frs', 'criminals', '400']","['BIG EXPOSE | CJP Protest 250 criminals visited Protest They created riot like situation Delhi Police FRS system has identified 250 wanted criminals who allegedly visited the CJP protest site. Sources claim many of them were present to fuel violence and create a riot-like', '🚨 BIG BREAKING Delhi Police IDENTIFIED several ""BAD CHARACTERS"" with CRIMINAL records ahead of the CJP protest and took 215 people into PREVENTIVE CUSTODY based on intelligence inputs to PREVENT any law-and-order disruption.', '🚨 BIG BREAKING Delhi Police IDENTIFIED several ""BAD CHARACTERS"" with CRIMINAL records ahead of the CJP protest and took 215 people into PREVENTIVE CUSTODY based on intelligence inputs to PREVENT any law-and-order disruption.']"
8,36,8_6th_attended cjp_delhi day_attended,"['6th', 'attended cjp', 'delhi day', 'attended', 'republic', '00', 'tv', '24 07', 'assemble', 'protest jantarmantarprotest']","['Arfa Khanum becomes angry while reporting on CJP protest in Delhi ""Over 2-3 crore people follow CJP on Social media yet only 1000-2000 people showed up on protest site today"" - She says with tears in her eyes 😂 1 aur zakhm..', 'Republic TV at 8:00 AM: 🇺🇸Soros and deep agents are behind the Delhi protest Republic TV at 2:00 PM: 🇨🇳China is scripting regime change in India via the Delhi protest Republic TV at 7:00 PM: 🇧🇩Bangladesh is funding the protest', 'Watch Full Video on ~ DELHI | CJP PROTEST | பொளக்கப்பட்ட கரப்பான்கள் - Unlimited Fun | TJ360 Delhi | CJP | Tamiljanam360 | TJ360']"
