Topic,Count,Name,Representation,Representative_Docs
-1,456,-1_riots_support_students_anti,"['riots', 'support', 'students', 'anti', 'modi', 'delhi protest', 'student', 'time', 'man', 'ji']","[""After talks with the government, Cockroach Janta Party (CJP) Chief Spokesperson Saurav Das said the Centre has accepted the group's second key demand to withdraw FIRs filed against protesters in Delhi and BJP-ruled or BJP-allied states. Das said the government assured that copies"", 'Lion since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP/CJP rampage Hardly any tough action after winning elections everywhere', 'Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐']"
0,128,0_dharmendra pradhan_dharmendra_education minister_pradhan,"['dharmendra pradhan', 'dharmendra', 'education minister', 'pradhan', 'education', 'minister dharmendra', 'union education', 'minister', 'resignation', 'resigned']","['CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met: Compensation of ₹1 crore for families of students who died by suicide. Delhi Police public apology. (1/2)', 'VIDEO | Delhi: As Union Education Minister Dharmendra Pradhan posts a letter, saying he has sent his resignation to PM Modi, CJP founder Abhijeet Dipke says, “Dharmendra Pradhan has resigned. This is the proof that if you don’t get scared, if you don’t bow down in front of this', 'Cockroach Janta Party (CJP) supporters, and Volunteers protest seeking resignation of Union Education Minister Dharmendra Pradhan over alleged examination irregularities and NEET paper leak in New Delhi on July 24, 2026. 📸 : Shashi Shekhar Kashyap']"
1,108,1_stones_cjp goons_journalist_attacked,"['stones', 'cjp goons', 'journalist', 'attacked', 'abuse', 'abusive', 'mob', 'journalists', 'goons', 'pelting']","['Reality of CJP Protest! Police was standing peacefully, CJP Goons attacked them, pelted stones at Police. Peek TV which promoted CJP got stuck in the attack and its anchor fell down. They finally had to run away because of the violent CJP Goons.', ""Nihang Sikhs are now beating CJP protesters at Jantar Mantar. According to them, this is no longer a protest. It's a fair. People come here only to hurl abusive slogans, mess around, and throw stones or bottles at the police. This is no longer a peaceful protest. They say"", 'WTF Is Happening At CJP Protest? A journalist was randomly declared ""Godi Media"". And brutally beaten by a hundreds of CJP goons. And people on camera are celebrating these mob attacks on journalists. Instead of publicly conedming these mob attacks, CJP is shamelessly']"
2,85,2_bjp_farmers_failure_modi govt,"['bjp', 'farmers', 'failure', 'modi govt', 'bihar', 'did', 'farmers protest', 'good', 'shaheen bagh', 'shaheen']","['Itihaas gawah har baar thook ke chaaata hai.. CAA protests, Shaheen Bagh, Delhi riots aur ab CJP protest. ṀC aise banega ye tera Modi dictator.. India needs Yogi badly', 'Did PM Modi and HM Amit Shah lose to the CJP? My answer is no. The BJP only takes a step back when it needs to move 10 steps forward. The Cockroach Janata Party was completely hijacked, gradually infiltrated by extremist organizations, leftist ideology, and the Deep State. They', '1. Kishan Protest 2. Shaheen Bagh 3. Delhi Riots Now CJP . I feel Modi is done now . he needs to pass the baton to Amit Shah ji and Yogi ji . Resignation is not wrong but the timing is wrong and he ultimately surrenders to streets not genuine students 🙏']"
3,55,3_metro_stations_delhi metro_metro stations,"['metro', 'stations', 'delhi metro', 'metro stations', '18', 'closed', '18 delhi', 'delhimetro', 'shut', 'remain']","['18 Delhi Metro stations remain shut for fourth straight day amid CJP protest DelhiMetro DMRC CJPProtest', 'For the fourth consecutive day, 18 Delhi Metro stations in central Delhi remain closed due to heightened security around the ongoing CJP protest near Jantar Mantar. Services are suspended from 7:30 AM until further notice, while interchange facilities remain available at Rajiv', 'STORY | 18 Delhi Metro stations remain shut for fourth straight day amid CJP protest Eighteen Delhi Metro stations in central Delhi remained closed for the fourth straight day on Saturday due to security concerns amid the ongoing Cockroach Janta Party (CJP) protest near the']"
4,50,4_union ministers_jitendra_jitendra singh_jp nadda,"['union ministers', 'jitendra', 'jitendra singh', 'jp nadda', 'jp', 'ministers', 'nadda', 'meeting', 'nadda jitendra', 'spokesperson']","[""Delhi | Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋"", 'Watch | Delhi: A meeting was held between Union Ministers JP Nadda and Jitendra Singh and Cockroach Janta Party’s Chief Spokesperson Saurav Das and National Spokesperson Ashutosh Ranka. | | | | | Delhi |', ""WATCH | Delhi: Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋""]"
5,48,5_ban_neet_gen_neet students,"['ban', 'neet', 'gen', 'neet students', 'tamil nadu', 'nadu', 'neet protest', 'think', 'entire', 'tamil']","['Didnt u see TVK also firm on NEET BAn CJP TN is just a proxy CJP delhi doesnt even know these fake ppl and their motives A page started merely to gain followers during the cockroach viral time suddenly acts as if its original. Can you or any 1 in protest tell who is admin?', '1) CJP Delhi protest has 3 clear demands and Ban NEET is NOT one of them 2) So how is demanding Ban NEET in Tamil Nadu called a supportive protest for CJP 3) Pushing Ban NEET and singing about religious riots is this really a student support protest.', 'CJP Delhi demands a fair NEET while CJP Chennai demands a ban on NEET. Did you listen to his full speech? He covered all the issues related to NEET and the protest. Additionally, he also addressed the Tamil Nadu govt’s lack of action on Dalit issues in his own stage.']"
6,44,6_cockroach janta_janta party_janta_party,"['cockroach janta', 'janta party', 'janta', 'party', 'cockroach', 'party cjp', 'mantar cockroach', 'janata', 'janata party', 'cockroach janata']","['Watch | Delhi Police held a press conference on the ongoing Cockroach Janata Party (CJP) protest. DCP Central Rohit Rajbir Singh said, ""Our investigation has revealed that some social media accounts operated from Pakistan are spreading fake content related to the protest. So', 'WATCH | Delhi: On the misleading and false information related to Jantar Mantar protest, DCP Central Rohit Rajbir Singh says, ""A protest has been going on at Jantar Mantar for the past several weeks by the Cockroach Janata Party... Information on social media goes viral very', '🚨 NewsAlert | Delhi Police held a press conference regarding the ongoing Cockroach Janata Party (CJP) protest. 📌 DCP Central Rohit Rajbir Singh said, ""For the past several weeks, the Cockroach Janata Party (CJP) protest has been underway at Jantar Mantar. Information spreads']"
7,36,7_food_water_food water_sealed,"['food', 'water', 'food water', 'sealed', 'security', 'arrangements', 'barricaded', 'heavy', 'sourav', 'protest continues']","['Delhi: CJP spokesperson Saurav Das sat on a dharna after alleging that Delhi Police stopped food and water supplies at the protest site. He says, ""Access to clean water and food is a basic human right. Is Delhi Police trying to deprive people of food and water? Delhi Police', 'VIDEO | Delhi: Jantar Mantar completely barricaded and sealed as CJP-led protest continues; heavy security deployed at the site. (Full video available on PTI Videos -', 'VIDEO | Jantar Mantar Protest: ""Food and water being stopped\', says CJP spokesperson Saurav Das in heated argument with Delhi Police. JantarMantarProtest CJP (Full video available on PTI Videos -']"
8,33,8_nia_seeking_probe_pil,"['nia', 'seeking', 'probe', 'pil', 'delhi high', 'court', 'high court', 'rejects', 'high', 'plea']","['BREAKING: Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.', 'BREAKING: Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.', 'BREAKING: Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.']"
