Topic,Count,Name,Representation,Representative_Docs
-1,351,-1_riots_pm_students_constable,"['riots', 'pm', 'students', 'constable', 'man', 'delhi riots', 'support', 'tmc', 'modi', 'singh']","['Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐', 'Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐', 'Since 2014_ -Intolerance campaign -Award return show by Urban Naxals -Shaheen Bagh -Delhi Riots -Fake Farmers Protest -Republic Day Riots -Manipur Kuki Terrorism -West Bengal Anti-Hindu Riots by TMC -AAP-CJP rampage Hardly any concrete action after winning elections everywhere🤐']"
0,123,0_stones_journalist_cjp goons_attacked,"['stones', 'journalist', 'cjp goons', 'attacked', 'abuse', 'covering', 'abusing', 'mob', 'journalists', 'goons']","['She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one. Now yesterday, she was threatening the Delhi Police to beat them with lathis. GenZWithBharat PMModi', '🚨 She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one. Now yesterday, she was threatening the Delhi Police to beat them with lathis. Just a few hours later,', 'WTF Is Happening At CJP Protest? A journalist was randomly declared ""Godi Media"". And brutally beaten by a hundreds of CJP goons. And people on camera are celebrating these mob attacks on journalists. Instead of publicly conedming these mob attacks, CJP is shamelessly']"
1,122,1_dharmendra_dharmendra pradhan_pradhan_resigned,"['dharmendra', 'dharmendra pradhan', 'pradhan', 'resigned', 'resignation', 'education minister', 'education', 'minister', 'pradhan resigned', 'resigns']","['VIDEO | Delhi: As Union Education Minister Dharmendra Pradhan posts a letter, saying he has sent his resignation to PM Modi, CJP founder Abhijeet Dipke says, “Dharmendra Pradhan has resigned. This is the proof that if you don’t get scared, if you don’t bow down in front of this', 'CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met: Compensation of ₹1 crore for families of students who died by suicide. Delhi Police public apology. Action against those who ordered', 'CJP celebrates resignation of India’s Education Minister Dharmendra Pradhan. Yet CJP says won’t end protest until other demands are met: Compensation of ₹1 crore for families of students who died by suicide. Delhi Police public apology. (1/2)']"
2,112,2_modi govt_modi_private_2029,"['modi govt', 'modi', 'private', '2029', 'property', 'protest support', 'state', 'congress', 'permission', 'support']","['Did PM Modi and HM Amit Shah lose to the CJP? My answer is no. The BJP only takes a step back when it needs to move 10 steps forward. The Cockroach Janata Party was completely hijacked, gradually infiltrated by extremist organizations, leftist ideology, and the Deep State. They', '1. Kishan Protest 2. Shaheen Bagh 3. Delhi Riots Now CJP . I feel Modi is done now . he needs to pass the baton to Amit Shah ji and Yogi ji . Resignation is not wrong but the timing is wrong and he ultimately surrenders to streets not genuine students 🙏', 'This is amazing! CJP and Sonam Wangchuk: One month protest at Jantar Mantar. Modi govt refuses to talk to them Rahul Gandhi: Allowed to protest outside PM residence. In one hour Modi Govt starts dialogue Wah! Kya jugalbandi hai!']"
3,80,3_ban_neet_student_tamil,"['ban', 'neet', 'student', 'tamil', 'tamil nadu', 'nadu', 'protest neet', 'students', 'better', 'cjp delhi']","[""We need to expose the mainstream media in Tamil Nadu, just as CJP is doing in Delhi. Students, each one of you is an independent journalist. Use your mobile phone to record and expose Tamil news channels that spread false narratives or misinformation about the students' protest."", '1) CJP Delhi protest has 3 clear demands and Ban NEET is NOT one of them 2) So how is demanding Ban NEET in Tamil Nadu called a supportive protest for CJP 3) Pushing Ban NEET and singing about religious riots is this really a student support protest.', 'CJP Delhi demands a fair NEET while CJP Chennai demands a ban on NEET. Did you listen to his full speech? He covered all the issues related to NEET and the protest. Additionally, he also addressed the Tamil Nadu govt’s lack of action on Dalit issues in his own stage.']"
4,71,4_cockroach_party_cockroach janta_janta,"['cockroach', 'party', 'cockroach janta', 'janta', 'janta party', 'party cjp', 'janata party', 'janata', 'cockroach janata', 'mantar cockroach']","['Watch | Delhi Police held a press conference on the ongoing Cockroach Janata Party (CJP) protest. DCP Central Rohit Rajbir Singh said, ""Our investigation has revealed that some social media accounts operated from Pakistan are spreading fake content related to the protest. So', 'WATCH | Delhi: On the misleading and false information related to Jantar Mantar protest, DCP Central Rohit Rajbir Singh says, ""A protest has been going on at Jantar Mantar for the past several weeks by the Cockroach Janata Party... Information on social media goes viral very', '🚨 NewsAlert | Delhi Police held a press conference regarding the ongoing Cockroach Janata Party (CJP) protest. 📌 DCP Central Rohit Rajbir Singh said, ""For the past several weeks, the Cockroach Janata Party (CJP) protest has been underway at Jantar Mantar. Information spreads']"
5,69,5_2026_july_july 2026_july 27,"['2026', 'july', 'july 2026', 'july 27', '6th', '00', 'farmers', 'march', 'ongoing students', 'attended cjp']","[""Bharatiya Kisan Union (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted."", ""Bharatiya Kisan Union (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted."", ""BKU (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted. cjp cjpprotest""]"
6,55,6_metro_stations_delhi metro_metro stations,"['metro', 'stations', 'delhi metro', 'metro stations', '18', 'closed', '18 delhi', 'shut', 'delhimetro', 'remain']","['18 Delhi Metro stations remain shut for fourth straight day amid CJP protest DelhiMetro DMRC CJPProtest', 'For the fourth consecutive day, 18 Delhi Metro stations in central Delhi remain closed due to heightened security around the ongoing CJP protest near Jantar Mantar. Services are suspended from 7:30 AM until further notice, while interchange facilities remain available at Rajiv', 'STORY | 18 Delhi Metro stations remain shut for fourth straight day amid CJP protest Eighteen Delhi Metro stations in central Delhi remained closed for the fourth straight day on Saturday due to security concerns amid the ongoing Cockroach Janta Party (CJP) protest near the']"
7,50,7_food_water_food water_area,"['food', 'water', 'food water', 'area', 'sealed', 'security', 'arrangements', 'siege', 'heavy', 'sourav']","['VIDEO | Delhi Jantar Mantar Protest: CJP spokesperson Saurav Das, says, ""Our food and water is being stopped. Is Delhi Police trying to deprive people of food and water? Let the Delhi Police clarify its position. Instead of listening to the demands of the youth, the', 'Delhi: CJP spokesperson Saurav Das sat on a dharna after alleging that Delhi Police stopped food and water supplies at the protest site. He says, ""Access to clean water and food is a basic human right. Is Delhi Police trying to deprive people of food and water? Delhi Police', 'VIDEO | Jantar Mantar Protest: ""Food and water being stopped\', says CJP spokesperson Saurav Das in heated argument with Delhi Police. JantarMantarProtest CJP (Full video available on PTI Videos -']"
8,47,8_jp_jp nadda_union ministers_jitendra singh,"['jp', 'jp nadda', 'union ministers', 'jitendra singh', 'jitendra', 'nadda', 'ministers', 'meeting', 'nadda jitendra', 'saurav das']","['Watch | Delhi: A meeting was held between Union Ministers JP Nadda and Jitendra Singh and Cockroach Janta Party’s Chief Spokesperson Saurav Das and National Spokesperson Ashutosh Ranka. | | | | | Delhi |', ""Delhi | Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋"", ""WATCH | Delhi: Union Ministers JP Nadda and Jitendra Singh hold third round of talks with Cockroach Janta Party's Chief Spokesperson Saurav Das and its National Spokesperson Ashutosh Ranka. 🪳✊ CJP Protest Live Updates ➠ 📋""]"
