Topic,Count,Name,Representation,Representative_Docs
-1,444,-1_the_protest_and_delhi,"['the', 'protest', 'and', 'delhi', 'in', 'to', 'of', 'cjp', 'police', 'is']","[""Bharatiya Kisan Union (Ekta Ugrahan) has announced that it will join the ongoing students' protest at Jantar Mantar in Delhi. The farmers' union will march to the national capital on July 27 and has said its members will remain in Delhi until the students' demands are accepted. https://t.co/fRquMkztFM"", 'Following the resignation of former Education Minister Dharmendra Pradhan, which is being seen as a major victory for the CJP protests and the broader student movement, the Delhi Police have announced that all Delhi Metro stations are now open. Metro services are reportedly free', '🇮🇳 Delhi | A Major Achievement for Students at Jantar Mantar! ✊\nThe CJP has announced the conclusion of its protest at Jantar Mantar following three rounds of talks with the government.\n\nAccording to CJP leader Ashutosh Ranka, key demands of the movement have been addressed,']"
0,101,0_dharmendra_pradhan_education_minister,"['dharmendra', 'pradhan', 'education', 'minister', 'resignation', 'resigned', 'resigns', 'union', 'pradhans', 'live']","['#BREAKING Delhi| After Union Education Minister Dharmendra Pradhan shared a letter stating that he has submitted his resignation to Prime Minister Narendra Modi, CJP founder @abhijeet_dipke \n\n“Dharmendra Pradhan has resigned. This proves that if you do not get scared or bow down https://t.co/oybuRBHrCw', '#Students_Who_Lost_Their_Lives_Got_Justice\n\nAbhijeet Dipke After Dharmendra Pradhan\'s Resignation\n\n#delhi : Following the resignation of Union Education Minister Dharmendra Pradhan, CJP founder Abhijeet Dipke said, ""Students who lost their lives got justice today."" He described https://t.co/PRt0cKqdGD', 'VIDEO | Delhi: As Union Education Minister Dharmendra Pradhan posts a letter, saying he has sent his resignation to PM Modi, CJP founder Abhijeet Dipke says, “Dharmendra Pradhan has resigned. This is the proof that if you don’t get scared, if you don’t bow down in front of this https://t.co/ztgGjB21uu']"
1,95,1_cockroach_party_janta_cockroaches,"['cockroach', 'party', 'janta', 'cockroaches', 'the', 'delhi', 'protest', 'mantar', 'jantar', 'to']","['The Cockroach Janta Party has announced that it is withdrawing the CJP protest and has asked all protesters to return home peacefully.\n\nIf anyone continues creating chaos at Jantar Mantar after this, it will be up to the Delhi Police to deal with them. https://t.co/iT9pwSa4ww', 'The Cockroach Janta Party has announced that it is withdrawing the CJP protest and has asked all protesters to return home peacefully.\n\nIf anyone continues creating chaos at Jantar Mantar after this, it will be up to the Delhi Police to deal with them. https://t.co/qBFVRRQOXo', '@Cockroachisback 📢 The Cockroach Janta Party has announced that it is withdrawing the CJP protest and has asked all protesters to return home peacefully.\n\n》If anyone continues creating chaos at Jantar Mantar after this, it will be up to the Delhi Police (@DelhiPolice) to deal with them. https://t.co/oRpCUJrnHK']"
2,49,2_she_her_is_journalist,"['she', 'her', 'is', 'journalist', 'this', 'covering', 'and', 'media', 'now', 'threatening']","['She is Instagram influencer Sunita Bhatt with over 200K+ followers. She has been making anti-BJP videos for a long time and has been covering the CJP protest since day one.\n\nNow yesterday, she was threatening the Delhi Police to beat them with lathis.\n#GenZWithBharat \n#PMModi https://t.co/ClmFHNS6fZ', 'This woman at the CJP protest is threatening to turn Delhi into Nepal.  \nShe looks suspicious.\n@DelhiPolice must investigate her links. \nFrom @erbmjha https://t.co/Xdgdzm5s8u', 'This woman at the CJP protest is threatening to turn Delhi into Nepal. \nShe looks suspicious. \n@DelhiPolice must investigate her links.\nFrom @erbmjha https://t.co/pYFCzns1oj']"
3,47,3_neet_is_protest_students,"['neet', 'is', 'protest', 'students', 'the', 'student', 'in', 'this', 'cjp', 'du']","['The CJP protest is against NEET 2026 Paper Leak but there is not even one student who has appeared for NEET amongst the crowd - Why?\n\nBecause REAL students don’t have time for this nonsense &amp; are now busy with NEET counselling process\n\nThe entire Jantar Mantar precinct has become https://t.co/g2m3dBhAUV', 'NEET topper bashing the so called student protest of CJP 🚨\n\nQuestion: What do you think about student protest going on in our country ?\n\nShe said : ""Look, from what I saw of this protest, I felt that there are no NEET students in this protest, the way they are chanting slogans https://t.co/sYnIrF3p5E', '1) CJP Delhi protest has 3 clear demands and Ban NEET is NOT one of them\n\n2) So how is demanding Ban NEET in Tamil Nadu called a supportive protest for CJP\n\n3)  Pushing Ban NEET and singing about religious riots is this really a student support protest. https://t.co/Cj8SFK0O33']"
4,42,4_you_chuslims_indiaki_world,"['you', 'chuslims', 'indiaki', 'world', 'to', 'in', 'protest', 'cjp', 'india', 'media']","['@AP Thank you world for showing the real picture of India.  Mainstream media is sold out (to Moti) or spineless. We common people now depend on you and social media. Keep supporting the #CJP protest at #JantarMantar, New Delhi and across #India #World🙏', '@Reuters Thank you world for showing the real picture of India. Mainstream media is sold out or spineless. We common people now depend on you and social media. Keep supporting the #CJP protest at #JantarMantar, New Delhi and across #India #World🙏', '@business Thank you world for showing the real picture of India. Mainstream media is sold out or spineless. We common people now depend on you and social media. Keep supporting the #CJP protest at #JantarMantar, New Delhi and across #India #World🙏']"
5,40,5_stones_are_is_at,"['stones', 'are', 'is', 'at', 'they', 'the', 'this', 'mantar', 'jantar', 'that']","['The Nihang Sikhs who came to support the CJP protest are now disappointed themselves.\n\nThey are saying that people here are consuming drugs, deliberately pelting stones at the police, and creating riots.\n\nIt took them just two days to realize what was happening here. But the https://t.co/6iV3jyL9zq', 'Now even Chandrashekhar Azad Ravan is openly expressing his anger at these CJP protesters.\n\nAccording to him, they are not holding a peaceful protest. Instead, they deliberately clash with the police and throw bottles and stones at them.\n\nHe is also saying, ""Then why do you https://t.co/wT8P5pZ5qO', ""Nihang Sikhs are now beating CJP protesters at Jantar Mantar.\n\nAccording to them, this is no longer a protest. It's a fair. People come here only to hurl abusive slogans, mess around, and throw stones or bottles at the police.\n\nThis is no longer a peaceful protest. They say https://t.co/7y1NOo8xq1""]"
6,35,6_sonam_wangchuk_hospital_hunger,"['sonam', 'wangchuk', 'hospital', 'hunger', 'strike', 'ended', 'fast', 'him', 'his', 'the']","['A video showing activist Sonam Wangchuk inside Delhi\'s Safdarjung Hospital has gone viral, capturing moments after he was shifted there from the Jantar Mantar protest site during his hunger strike. The footage shows Wangchuk confronting a police officer and alleging ""harassment"" https://t.co/isnbuNbIjP', ""Sonam Wangchuk's heated exchange at Safdarjung Hospital went viral after he alleged police stopped him from leaving despite a Delhi High Court order allowing his transfer to a private hospital. Wangchuk, on a hunger strike supporting the CJP protest, questioned officials and https://t.co/1iKpOpjCzT"", 'Crackdown on NEET Paper leak Mafia and Riots at CJP Protest\n\nWhile Sonam Wangchuk has ended his hunger strike after UM JP Nadda and Dr Jitendra Singh visited him at the hospital, CJP leader Abhijeet Dipke has announced that until Dharmendra Pradhan resigns the protest will https://t.co/2ghpFRbyS8']"
7,35,7_metro_stations_18_shut,"['metro', 'stations', '18', 'shut', 'fourth', 'amid', 'delhimetro', 'remain', 'straight', 'day']","['18 Delhi Metro stations remain shut for fourth straight day amid CJP protest\n https://t.co/6Bxe6OUK2J', '18 Delhi Metro stations remain shut for fourth straight day amid CJP protest\n#DelhiMetro #Delhi #DMRC #JantarMantar \n\nhttps://t.co/sArbwLcZNs', '18 Delhi Metro stations remain shut for fourth straight day amid CJP protest\n\n#DelhiMetro #DMRC #CJPProtest\n\nhttps://t.co/hu2zsyLXlD']"
8,34,8_nadda_jp_jitendra_union,"['nadda', 'jp', 'jitendra', 'union', 'meeting', 'ministers', 'singh', 'delegation', 'jpnadda', 'spokesperson']","[""#IGR: Union Ministers JP Nadda and Jitendra Singh held a third round of talks with CJP Chief Spokesperson Saurav Das and National Spokesperson Ashutosh Ranka in New Delhi, as the government continued negotiations with protest leaders following Pradhan's resignation. https://t.co/djQ0wTjZNj"", ""Govt sought time till tomorrow to decide on #DharmendraPradhan's resignation', CJP after meeting Union ministers\n\nA meeting was held between Union Ministers #JPNadda and Jitendra Singh, and #CJP chief spokesperson #SauravDas and national spokesperson #AshutoshRanka, amid the https://t.co/Fc9JTYnirj"", ""Watch | 'Govt sought time till tomorrow to decide on #DharmendraPradhan's resignation', CJP after meeting Union ministers\n\nA meeting was held between Union Ministers #JPNadda and Jitendra Singh, and #CJP chief spokesperson #SauravDas and national spokesperson #AshutoshRanka, amid https://t.co/EtwnjdMhj1""]"
9,33,9_mantar_jantar_live_at,"['mantar', 'jantar', 'live', 'at', 'meet', 'updates', 'protest', 'cjp', 'song', 'abhinay']","['#WATCH | Punjabi Singer, Song Writer and Producer Kaka @Its_Kaka_Ji reached at CJP Protest Site Jantar Mantar, Delhi. \n\nKaka extended solidarity with the protesters. He sang a song and said that ""will try to join the march on 20th July to parliament. All are sitting here are my https://t.co/2z2vCspUd8', 'LIVE: Delhi Police Press Meet On CJP Protest At Jantar Mantar | V6 News\nhttps://t.co/dbR7yqx5x8', 'LIVE: Delhi Police Press Meet On CJP Protest At Jantar Mantar | V6 News\nhttps://t.co/ieivWW5OVF']"
10,33,10_food_mantar_jantar_water,"['food', 'mantar', 'jantar', 'water', 'security', 'police', 'area', 'delhi', 'at', 'continues']","['Delhi Police and protest group CJP are locked in a dispute over food meant for demonstrators at Jantar Mantar. CJP spokesperson Saurav Das alleged on X that three boys were detained at Nizamuddin Police Station while carrying food for protesters, accusing police of targeting Gen', 'VIDEO | Delhi Jantar Mantar Protest: CJP spokesperson Saurav Das, says, ""Our food and water is being stopped. Is Delhi Police trying to deprive people of food and water? Let the Delhi Police clarify its position. Instead of listening to the demands of the youth, the https://t.co/BJo8OCTAV5', 'Delhi: CJP spokesperson Saurav Das sat on a dharna after alleging that Delhi Police stopped food and water supplies at the protest site.\n\nHe says, ""Access to clean water and food is a basic human right. Is Delhi Police trying to deprive people of food and water? Delhi Police https://t.co/pnZg0lZYjA']"
11,30,11_modi_ji_bjp_2029,"['modi', 'ji', 'bjp', '2029', 'it', 'narendra', 'you', 'gt', 'cjp', 'to']","['After CJP protest, do you still support  @narendramodi Narendra modi ji?🥹\nI support Modi ji🇮🇳.\nRepost Yes or No. https://t.co/cgxCdOoWpO', 'Genuine question \n\nAfter the Delhi protest, will you still vote for BJP and Modi ji in 2029? https://t.co/BOZVN2Y1DT', 'A genuine question for you\n\nAfter the Delhi protest, will you still vote for BJP and Modi ji in 2029? https://t.co/wbcAo3NCDs']"
12,29,12_nia_probe_seeking_court,"['nia', 'probe', 'seeking', 'court', 'pil', 'high', 'into', 'rejects', 'plea', 'hc']","['#BREAKING: Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.\n\n#cjp #cjp_पार्टी #cjp_ही_aap_है', 'Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.', 'Delhi High Court rejects PIL Seeking NIA Probe into CJP Protest at Jantar Mantar in New Delhi.']"
13,27,13_tj360_jantarmantar_neet_cjp,"['tj360', 'jantarmantar', 'neet', 'cjp', 'cjpprotest', 'dhruvrathee', 'video', 'delhi', 'protest', 'paperleak']","[""CJP, BJP பேச்சுவார்த்தை தோல்வியா? Modi Resign Demand? CJP's Explosive Announcement Over NEET Protest | CM Vijay | Journalist Kavitha interview \n\n#NEET #JantarMandar #CJPProtest #CJP #Modi #delhi #JPNadda #delhiprotest #BANNEET #CMVijay\u200c #TVKVijay\u200cFails #Arakalagam https://t.co/d7RQ1Znen0"", 'Full Video Link - 👉https://t.co/Ke46ZLItQ4  DELHI | CJP PROTEST | பொளக்கப்பட்ட கரப்பான்கள் - Unlimited Fun | TJ360\n\nTovino bro ! பேசுங்க bro | CJP Protest | TJ 360 | NEET |\n#Tamiljanam360 | #TJ360 | #tovinothomas | #Kerala |  #mallu | #Keralafilm | #filmindustry | https://t.co/HiVWce8Uoa', 'Who Entered The NEET Protest Crowd?\n\n#jantarmantar #cjpprotest #cjp #delhi #delhiprotest #jantarmantarprotest #neet #dharmendrapradhan #sonamwangchuk #paperLeak #studentprotest #rahulgandhi https://t.co/4ToPXWEwjp']"
14,23,14_off_agitation_mantar_jantar,"['off', 'agitation', 'mantar', 'jantar', 'assurances', 'end', 'calls', 'after', 'saurav', 'das']","['🚨 BIGGEST BREAKING\n\nCJP has announced to END the Jantar Mantar agitation after Govt assurances.\n\nFinally, Delhi will breathe free... https://t.co/lwtWvoOjvI', 'CJP calls off protest but now their politics will start 😂\n\nCJP has announced to END the Jantar Mantar agitation after Govt assurances.\n\nFinally, Delhi will breathe free 🇮🇳\n\n#DharmendraPradhan #RestorePeace\n#TimeToEndProtest \n#NEETExamProtest\n#जंतर_मंतर_ब्रेकिंग_न्यूज https://t.co/rnbwnauQCk', 'CJP calls off protest but now their politics will start 😂\n\nCJP has announced to END the Jantar Mantar agitation after Govt assurances.\n\nFinally, Delhi will breathe free 🇮🇳\n\n#DharmendraPradhan #RestorePeace\n#TimeToEndProtest \n#NEETExamProtest\n#जंतर_मंतर_ब्रेकिंग_न्यूज']"
15,23,15_cjpmovement_modigovernment_dharmendrapradhan_sonamwangchuk,"['cjpmovement', 'modigovernment', 'dharmendrapradhan', 'sonamwangchuk', 'cockroachjantaparty', 'genzwithbharat', 'abhijeetdipke', 'bjp', 'genz', 'india']","[""It's awareness. \n\n#GenZWithBharat #NEET #Modi #Delhi #Dharmendrapradhan #SonamWangchuk #CJP #CJPMovement #AbhijeetDipke #CockroachJantaParty #Protest #India #ModiGovernment #BJP #genz #jantarmantar"", 'Creativity \n#GenZWithBharat #NEET #Modi #Delhi #Dharmendrapradhan #SonamWangchuk #CJP #CJPMovement #AbhijeetDipke #CockroachJantaParty #Protest #India #ModiGovernment #BJP #genz #jantarmantar', 'Genz Won. \n#GenZWithBharat #NEET #Modi #Delhi #Dharmendrapradhan #SonamWangchuk #CJP #CJPMovement #AbhijeetDipke #CockroachJantaParty #Protest #India #ModiGovernment #BJP #genz #jantarmantar']"
16,23,16_best_this_protest_cjp,"['best', 'this', 'protest', 'cjp', 'reality', 'again', 'fade', 'liberals', 'scene', 'life']","['The best video of the CJP protest so far. \n\nYou might be able to fool Gen Z, but an older person cannot be manipulated like that. https://t.co/3Izalpw9Ay', 'This video is absolute cinema. by far the best from CJP protest\n\nCouldn’t resist sharing this again and again.🔥 https://t.co/Ef1jI7xxIZ', 'This kid is literally becoming a nightmare for left Liberals 🔥\n\nHe is EXPOSING CJP Protest left right and centre with deep research 🔥\n\nLiberals tried to silence him by copyright strike but now he’s ROASTING them at 10x speed.\n\nMore power to him 🙌🔥 https://t.co/ohkpE6nK3K']"
